source,path,value_types_and_observations,backend_retention_audit
match,info.endOfGameResult,"{""str"": 1}",Not retained as a dedicated field by active match parser
match,info.gameCreation,"{""int"": 1}",Stored in Match
match,info.gameDuration,"{""int"": 1}",Stored in Match
match,info.gameEndTimestamp,"{""int"": 1}",Not retained as a dedicated field by active match parser
match,info.gameId,"{""int"": 1}",Not retained as a dedicated field by active match parser
match,info.gameMode,"{""str"": 1}",Stored in Match
match,info.gameName,"{""str"": 1}",Not retained as a dedicated field by active match parser
match,info.gameStartTimestamp,"{""int"": 1}",Not retained as a dedicated field by active match parser
match,info.gameType,"{""str"": 1}",Not retained as a dedicated field by active match parser
match,info.gameVersion,"{""str"": 1}",Stored in Match
match,info.mapId,"{""int"": 1}",Stored in Match
match,info.participants[].PlayerScore0,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].PlayerScore1,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].PlayerScore10,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].PlayerScore11,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].PlayerScore2,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].PlayerScore3,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].PlayerScore4,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].PlayerScore5,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].PlayerScore6,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].PlayerScore7,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].PlayerScore8,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].PlayerScore9,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
