timestampMs,time,blueGold,redGold,blueGoldDifference,blueKills,redKills,blueKnownWards,redKnownWards
0,00:00,2500,2500,0,0,0,0,0
60020,01:00,2512,3040,-528,0,1,0,1
120020,02:00,4081,4302,-221,1,1,3,3
180041,03:00,5939,5933,6,2,2,5,4
240049,04:00,7500,7223,277,2,2,8,7
300154,05:00,10092,8536,1556,6,3,10,10
360183,06:00,11722,10088,1634,6,3,12,13
420207,07:00,13285,12076,1209,6,4,13,15
480226,08:00,14262,14122,140,6,6,14,16
540234,09:00,16286,16935,-649,7,9,17,18
600264,10:00,18286,18867,-581,8,10,18,21
660291,11:00,19608,20661,-1053,8,11,21,23
720309,12:00,23348,23637,-289,11,14,26,25
780326,13:00,25564,25552,12,11,15,28,27
840357,14:00,28763,27074,1689,13,15,32,27
900358,15:00,31406,28566,2840,15,16,35,30
960386,16:00,33056,30656,2400,15,17,37,33
1020408,17:00,34358,32740,1618,15,18,40,37
1080427,18:00,36472,35039,1433,15,19,45,41
1140438,19:00,38072,38892,-820,15,22,45,43
1200462,20:00,39936,41680,-1744,15,25,50,44
1260481,21:00,40925,44790,-3865,15,27,52,47
1320496,22:00,42510,47260,-4750,15,31,54,48
1380506,23:00,45172,49522,-4350,15,32,56,53
1440528,24:00,46818,50892,-4074,15,33,58,55
1500558,25:00,50200,52748,-2548,17,36,59,55
1560573,26:00,53543,54446,-903,19,37,63,57
1620577,27:00,54640,56212,-1572,19,38,67,59
1680598,28:00,58200,57745,455,22,39,69,62
1740616,29:00,60972,59568,1404,24,41,71,62
1800640,30:00,65524,60958,4566,28,42,73,63
1860669,31:00,67117,63056,4061,28,43,79,66
1920696,32:00,68836,65463,3373,29,46,81,70
1980724,33:00,70640,68018,2622,29,46,84,72
2040730,34:00,72886,69992,2894,30,47,90,76
2100735,35:00,74993,71069,3924,32,48,91,76
2160740,36:00,77153,72184,4969,32,48,93,79
2220745,37:00,80250,74678,5572,34,51,97,80
2280754,38:00,83650,76092,7558,35,51,101,83
2340765,39:00,87066,78301,8765,38,52,106,87
2368922,39:28,88606,78613,9993,40,52,109,87
